subj,serial,path,product,mac,macpp,macbot,macsmrd,luis,luispp,luisbot,luissmrd,avgsmrd,avgbot,avgbot.z,avgsmrd.z,sot,avgpp,smrd,aspect,bot,dec,gender,age,req,re,avgbotA
98,132655,1,A,prev,-1,0,-1,prev,-1,0,-1,-1,-1,-0.63,-1.42,-1.02,-1,-1,2,-2,0,1,1,19,0,-1
98,132655,1,B,prev,-1,-4,-1,prev,-1,-4,-1,-1,-1,-0.63,-1.42,-1.02,-1,-1,4,-4,0,1,1,19,0,-1
99,132656,0,A,prev,-1,0,0,prev,-1,0,0,0,-1,-0.63,-0.23,-0.43,-1,-1,6,-6,0,2,1,13,0,-1
99,132656,0,B,prom,1,2,1,prom,1,1,1,1,-1,-0.63,0.95,0.16,1,1,3,1,1,2,1,13,0,-1
100,132657,0,A,prom,1,3,0,prom,1,1,-0.6,-0.3,-1,-0.63,-0.59,-0.61,1,-1,5,-5,0,2,1,19,0,-1
100,132657,0,B,prom,1,4,1,prom,1,4,1,1,-1,-0.63,0.95,0.16,1,1,4,4,1,2,1,19,0,-1
101,132659,1,A,prom,1,1,-1,prom,1,1,-1,-1,-1,-0.63,-1.42,-1.02,1,-1,3,1,0,2,1,21,1,-1
101,132659,1,B,prev,-1,-1,0,prev,-1,-1,0,0,-1,-0.63,-0.23,-0.43,-1,-1,3,-3,0,2,1,21,1,-1
102,132660,0,A,prev,-1,-2,0.7,prev,-1,-2,0.7,0.7,-1,-0.63,0.56,-0.03,-1,-1,6,-6,0,2,1,22,1,-1
102,132660,0,B,prev,-1,-3,-1,prev,-1,-3,-1,-1,-1,-0.63,-1.42,-1.02,-1,-1,3,-3,0,2,1,22,1,-1
